,path_or_url,file,line,text
187,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/frontend.yaml,250,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
190,/v1alpha3,/mnt/data/service-shop/service-Shop/helm-chart/templates/frontend.yaml,266,apiVersion: networking.istio.io/v1alpha3
191,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/paymentservice.yaml,30,apiVersion: apps/v1
193,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/paymentservice.yaml,143,apiVersion: networking.istio.io/v1beta1
195,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/paymentservice.yaml,175,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.checkoutService.name }}
196,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/paymentservice.yaml,175,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.checkoutService.name }}
198,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/paymentservice.yaml,177,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
199,/hipstershop,/mnt/data/service-shop/service-Shop/helm-chart/templates/paymentservice.yaml,182,- /hipstershop.PaymentService/Charge
200,/Charge,/mnt/data/service-shop/service-Shop/helm-chart/templates/paymentservice.yaml,182,- /hipstershop.PaymentService/Charge
201,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/productcatalogservice.yaml,30,apiVersion: apps/v1
203,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/productcatalogservice.yaml,151,apiVersion: networking.istio.io/v1beta1
205,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/productcatalogservice.yaml,183,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
206,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/productcatalogservice.yaml,183,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
212,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/productcatalogservice.yaml,187,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
213,/hipstershop,/mnt/data/service-shop/service-Shop/helm-chart/templates/productcatalogservice.yaml,192,- /hipstershop.ProductCatalogService/GetProduct
214,/GetProduct,/mnt/data/service-shop/service-Shop/helm-chart/templates/productcatalogservice.yaml,192,- /hipstershop.ProductCatalogService/GetProduct
216,/ListProducts,/mnt/data/service-shop/service-Shop/helm-chart/templates/productcatalogservice.yaml,193,- /hipstershop.ProductCatalogService/ListProducts
217,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,28,apiVersion: apps/v1
218,/userVolumeMount,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,43,"sidecar.istio.io/userVolumeMount: '[{""name"": ""{{ .Values.cartDatabase.externalRedisTlsOrigination.name }}"", ""mountPath"": ""/etc/certs"", ""readonly"": true}]'"
219,/etc/certs,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,43,"sidecar.istio.io/userVolumeMount: '[{""name"": ""{{ .Values.cartDatabase.externalRedisTlsOrigination.name }}"", ""mountPath"": ""/etc/certs"", ""readonly"": true}]'"
220,/userVolume,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,44,"sidecar.istio.io/userVolume: '[{""name"": ""{{ .Values.cartDatabase.externalRedisTlsOrigination.name }}"", ""secret"": {""secretName"": ""{{ .Values.cartDatabase.externalRedisTlsOrigination.name }}""}}]'"
221,/config,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,45,"proxy.istio.io/config: '{""holdApplicationUntilProxyStarts"": true}'"
223,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,143,apiVersion: networking.istio.io/v1beta1
225,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,182,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
226,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,182,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
230,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,185,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
231,/hipstershop,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,190,- /hipstershop.CartService/AddItem
232,/AddItem,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,190,- /hipstershop.CartService/AddItem
234,/GetCart,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,191,- /hipstershop.CartService/GetCart
236,/EmptyCart,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,192,- /hipstershop.CartService/EmptyCart
